time,latitude,longitude,zh,bounds_time,abs_time,bounds_latitude,weights_latitude,bounds_longitude,tas
NONE,X,X,X,,,X,X,X,
1979-01-16 12:00:00,,,,0:0,0:0,,,,0:0
1979-02-15 00:00:00,,,,0:1,0:1,,,,0:1
1979-03-16 12:00:00,,,,0:2,0:2,,,,0:2
1979-04-16 00:00:00,,,,0:3,0:3,,,,0:3
1979-05-16 12:00:00,,,,0:4,0:4,,,,0:4
1979-06-16 00:00:00,,,,0:5,0:5,,,,0:5
1979-07-16 12:00:00,,,,0:6,0:6,,,,0:6
1979-08-16 12:00:00,,,,0:7,0:7,,,,0:7
1979-09-16 00:00:00,,,,0:8,0:8,,,,0:8
1979-10-16 12:00:00,,,,0:9,0:9,,,,0:9
1979-11-16 00:00:00,,,,0:10,0:10,,,,0:10
1979-12-16 12:00:00,,,,0:11,0:11,,,,0:11
1980-01-16 12:00:00,,,,1:0,1:0,,,,1:0
1980-02-15 00:00:00,,,,1:1,1:1,,,,1:1
1980-03-15 12:00:00,,,,1:2,1:2,,,,1:2
1980-04-15 00:00:00,,,,1:3,1:3,,,,1:3
1980-05-15 12:00:00,,,,1:4,1:4,,,,1:4
1980-06-15 00:00:00,,,,1:5,1:5,,,,1:5
1980-07-15 12:00:00,,,,1:6,1:6,,,,1:6
1980-08-15 12:00:00,,,,1:7,1:7,,,,1:7
1980-09-15 00:00:00,,,,1:8,1:8,,,,1:8
1980-10-15 12:00:00,,,,1:9,1:9,,,,1:9
1980-11-15 00:00:00,,,,1:10,1:10,,,,1:10
1980-12-15 12:00:00,,,,1:11,1:11,,,,1:11
1981-01-15 12:00:00,,,,5:0,5:0,,,,5:0
1981-02-14 00:00:00,,,,5:1,5:1,,,,5:1
1981-03-15 12:00:00,,,,5:2,5:2,,,,5:2
1981-04-15 00:00:00,,,,5:3,5:3,,,,5:3
1981-05-15 12:00:00,,,,5:4,5:4,,,,5:4
1981-06-15 00:00:00,,,,5:5,5:5,,,,5:5
1981-07-15 12:00:00,,,,5:6,5:6,,,,5:6
1981-08-15 12:00:00,,,,5:7,5:7,,,,5:7
1981-09-15 00:00:00,,,,5:8,5:8,,,,5:8
1981-10-15 12:00:00,,,,5:9,5:9,,,,5:9
1981-11-15 00:00:00,,,,5:10,5:10,,,,5:10
1981-12-15 12:00:00,,,,5:11,5:11,,,,5:11
1982-01-15 12:00:00,,,,4:0,4:0,,,,4:0
1982-02-14 00:00:00,,,,4:1,4:1,,,,4:1
1982-03-15 12:00:00,,,,4:2,4:2,,,,4:2
1982-04-15 00:00:00,,,,4:3,4:3,,,,4:3
1982-05-15 12:00:00,,,,4:4,4:4,,,,4:4
1982-06-15 00:00:00,,,,4:5,4:5,,,,4:5
1982-07-15 12:00:00,,,,4:6,4:6,,,,4:6
1982-08-15 12:00:00,,,,4:7,4:7,,,,4:7
1982-09-15 00:00:00,,,,4:8,4:8,,,,4:8
1982-10-15 12:00:00,,,,4:9,4:9,,,,4:9
1982-11-15 00:00:00,,,,4:10,4:10,,,,4:10
1982-12-15 12:00:00,,,,4:11,4:11,,,,4:11
1983-01-15 12:00:00,,,,3:0,3:0,,,,3:0
1983-02-14 00:00:00,,,,3:1,3:1,,,,3:1
1983-03-15 12:00:00,,,,3:2,3:2,,,,3:2
1983-04-15 00:00:00,,,,3:3,3:3,,,,3:3
1983-05-15 12:00:00,,,,3:4,3:4,,,,3:4
1983-06-15 00:00:00,,,,3:5,3:5,,,,3:5
1983-07-15 12:00:00,,,,3:6,3:6,,,,3:6
1983-08-15 12:00:00,,,,3:7,3:7,,,,3:7
1983-09-15 00:00:00,,,,3:8,3:8,,,,3:8
1983-10-15 12:00:00,,,,3:9,3:9,,,,3:9
1983-11-15 00:00:00,,,,3:10,3:10,,,,3:10
1983-12-15 12:00:00,,,,3:11,3:11,,,,3:11
1984-01-15 12:00:00,,,,2:0,2:0,,,,2:0
1984-02-14 00:00:00,,,,2:1,2:1,,,,2:1
1984-03-14 12:00:00,,,,2:2,2:2,,,,2:2
1984-04-14 00:00:00,,,,2:3,2:3,,,,2:3
1984-05-14 12:00:00,,,,2:4,2:4,,,,2:4
1984-06-14 00:00:00,,,,2:5,2:5,,,,2:5
1984-07-14 12:00:00,,,,2:6,2:6,,,,2:6
1984-08-14 12:00:00,,,,2:7,2:7,,,,2:7
1984-09-14 00:00:00,,,,2:8,2:8,,,,2:8
1984-10-14 12:00:00,,,,2:9,2:9,,,,2:9
1984-11-14 00:00:00,,,,2:10,2:10,,,,2:10
1984-12-14 12:00:00,,,,2:11,2:11,,,,2:11


file_ix,filename
0,"/1Tb/miniconda3/envs/nightly/share/cdat/sample_data/tas_ccsr-95a_1979.01-1979.12.nc"
1,"/1Tb/miniconda3/envs/nightly/share/cdat/sample_data/tas_ccsr-95a_1980.01-1980.12.nc"
2,"/1Tb/miniconda3/envs/nightly/share/cdat/sample_data/tas_ccsr-95a_1984.01-1984.12.nc"
3,"/1Tb/miniconda3/envs/nightly/share/cdat/sample_data/tas_ccsr-95a_1983.01-1983.12.nc"
4,"/1Tb/miniconda3/envs/nightly/share/cdat/sample_data/tas_ccsr-95a_1982.01-1982.12.nc"
5,"/1Tb/miniconda3/envs/nightly/share/cdat/sample_data/tas_ccsr-95a_1981.01-1981.12.nc"
